wall_time,sim_tick,ns_count,ew_count,ns_queue,ew_queue,avg_wait_s,phase,signal_state,green_remaining_s,total_passed,emergency_active,mode,pred_ns,pred_ew
2026-04-06T21:38:44,0,0,0,0,0,0.00,0,green,25.0,0,0,normal,1.50,1.20
2026-04-06T21:38:45,60,0,0,0,0,0.00,0,green,24.0,0,0,normal,0.00,0.00
2026-04-06T21:38:46,120,2,2,1,0,0.00,0,yellow,2.3,0,1,normal,2.00,2.00
2026-04-06T21:38:47,180,4,4,3,1,0.00,0,yellow,1.3,0,1,normal,4.00,4.00
2026-04-06T21:38:48,240,6,6,4,3,0.00,0,yellow,0.3,0,1,normal,5.75,5.80
2026-04-06T21:38:49,300,8,8,6,5,0.00,0,all_red,0.3,0,0,normal,7.15,6.85
2026-04-06T21:38:50,360,9,9,8,0,0.00,1,green,29.8,0,0,normal,8.05,8.10
2026-04-06T21:38:51,420,10,10,10,0,0.00,1,green,28.8,0,0,normal,10.00,10.00
2026-04-06T21:38:52,480,12,8,12,0,0.00,1,green,27.8,0,0,normal,12.00,11.20
2026-04-06T21:38:53,540,14,10,12,0,0.00,1,green,26.8,0,0,normal,14.00,10.00
2026-04-06T21:38:54,600,16,9,14,0,0.00,1,green,25.8,0,1,normal,16.00,8.65
2026-04-06T21:38:55,660,18,6,16,0,0.00,1,green,24.8,0,1,normal,17.00,6.10
2026-04-06T21:38:56,720,18,6,18,0,0.00,1,green,23.8,0,1,normal,18.00,6.70
2026-04-06T21:38:57,780,20,7,18,0,0.00,1,green,22.8,0,1,normal,20.00,7.00
2026-04-06T21:38:58,840,22,9,21,0,0.00,1,green,21.8,0,0,normal,22.00,8.85
2026-04-06T21:38:59,900,24,8,22,0,0.00,1,green,20.8,0,0,normal,24.00,8.00
2026-04-06T21:39:00,960,26,8,24,0,0.00,1,green,19.8,0,1,normal,25.95,7.65
2026-04-06T21:39:01,1020,28,8,26,0,0.00,1,green,18.8,0,1,normal,26.45,8.00
2026-04-06T21:39:02,1080,28,9,28,0,0.00,1,green,17.8,0,1,normal,28.00,9.00
2026-04-06T21:39:03,1140,30,9,30,0,0.00,1,green,16.8,0,0,normal,30.00,8.90
2026-04-06T21:39:04,1200,32,9,30,0,0.00,1,green,15.8,0,0,normal,32.00,8.70
2026-04-06T21:39:05,1260,34,9,32,0,0.00,1,green,14.8,0,0,normal,33.85,8.60
2026-04-06T21:39:06,1320,35,8,34,0,0.00,1,green,13.8,0,0,normal,34.50,8.65
2026-04-06T21:39:07,1380,37,9,36,0,0.00,1,green,12.8,0,0,normal,36.05,9.00
2026-04-06T21:39:08,1440,38,9,37,0,0.00,1,green,11.8,0,0,normal,38.00,8.75
2026-04-06T21:39:09,1500,40,9,38,0,0.00,1,green,10.8,0,0,normal,39.90,8.45
2026-04-06T21:39:10,1560,42,9,40,0,0.00,1,green,9.8,0,0,normal,41.05,9.00
2026-04-06T21:39:11,1620,43,10,42,0,0.00,1,green,8.8,0,0,normal,42.75,9.85
2026-04-06T21:39:12,1680,45,8,43,0,0.00,1,green,7.8,0,0,normal,44.15,8.55
2026-04-06T21:39:13,1740,46,9,45,0,0.00,1,green,6.8,0,0,normal,46.00,9.00
2026-04-06T21:39:14,1800,48,9,47,0,0.00,1,green,5.8,0,0,normal,47.95,8.65
