tick,time_s,ns_count,ew_count,total_vehicles,ns_queue,ew_queue,avg_wait_s,total_passed,total_spawned,emergency_events,emergency_active,phase,signal_state,green_remaining_s,adaptive_green_s,mode,pred_ns,pred_ew,ml_confidence
0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,green,24.98,25.0,normal,1.5,1.2,0.4
1,0.016666666666666666,0,0,0,0,0,0.0,0,0,0,0,0,green,24.97,25.0,normal,1.3,1.05,0.4
2,0.03333333333333333,0,0,0,0,0,0.0,0,0,0,0,0,green,24.95,25.0,normal,1.3,1.0,0.4
3,0.05,0,0,0,0,0,0.0,0,0,0,0,0,green,24.93,25.0,normal,1.25,0.9,0.4
4,0.06666666666666667,0,0,0,0,0,0.0,0,0,0,0,0,green,24.92,25.0,normal,1.2,0.85,0.4
5,0.08333333333333333,0,0,0,0,0,0.0,0,0,0,0,0,green,24.9,25.0,normal,1.15,0.8,0.4
6,0.1,0,0,0,0,0,0.0,0,0,0,0,0,green,24.88,25.0,normal,1.05,0.75,0.4
7,0.11666666666666667,0,0,0,0,0,0.0,0,0,0,0,0,green,24.87,25.0,normal,0.85,0.75,0.4
8,0.13333333333333333,0,0,0,0,0,0.0,0,0,0,0,0,green,24.85,25.0,normal,0.75,0.7,0.4
9,0.15,0,0,0,0,0,0.0,0,0,0,0,0,green,24.83,25.0,normal,0.65,0.6,0.4
10,0.16666666666666666,0,0,0,0,0,0.0,0,0,0,0,0,green,24.82,25.0,normal,0.55,0.55,0.4
11,0.18333333333333332,0,0,0,0,0,0.0,0,0,0,0,0,green,24.8,25.0,normal,0.45,0.5,0.4
12,0.2,0,0,0,0,0,0.0,0,0,0,0,0,green,24.78,25.0,normal,0.3,0.5,0.4
13,0.21666666666666667,0,0,0,0,0,0.0,0,0,0,0,0,green,24.77,25.0,normal,0.3,0.45,0.4
14,0.23333333333333334,0,0,0,0,0,0.0,0,0,0,0,0,green,24.75,25.0,normal,0.2,0.35,0.4
15,0.25,0,0,0,0,0,0.0,0,0,0,0,0,green,24.73,25.0,normal,0.15,0.25,0.4
16,0.26666666666666666,0,0,0,0,0,0.0,0,0,0,0,0,green,24.72,25.0,normal,0.15,0.15,0.4
17,0.2833333333333333,0,0,0,0,0,0.0,0,0,0,0,0,green,24.7,25.0,normal,0.05,0.1,0.4
18,0.3,0,0,0,0,0,0.0,0,0,0,0,0,green,24.68,25.0,normal,0.0,0.1,0.4
19,0.31666666666666665,0,0,0,0,0,0.0,0,0,0,0,0,green,24.67,25.0,normal,0.0,0.0,0.4
20,0.3333333333333333,0,0,0,0,0,0.0,0,0,0,0,0,green,24.65,25.0,normal,0.0,0.0,0.4
21,0.35,0,0,0,0,0,0.0,0,0,0,0,0,green,24.63,25.0,normal,0.0,0.0,0.4
22,0.36666666666666664,0,0,0,0,0,0.0,0,0,0,0,0,green,24.62,25.0,normal,0.0,0.0,0.4
23,0.38333333333333336,0,0,0,0,0,0.0,0,0,0,0,0,green,24.6,25.0,normal,0.0,0.0,0.4
24,0.4,0,0,0,0,0,0.0,0,0,0,0,0,green,24.58,25.0,normal,0.0,0.0,0.4
25,0.4166666666666667,0,0,0,0,0,0.0,0,0,0,0,0,green,24.57,25.0,normal,0.0,0.0,0.4
26,0.43333333333333335,0,0,0,0,0,0.0,0,0,0,0,0,green,24.55,25.0,normal,0.0,0.0,0.4
27,0.45,0,0,0,0,0,0.0,0,0,0,0,0,green,24.53,25.0,normal,0.0,0.0,0.4
28,0.4666666666666667,0,0,0,0,0,0.0,0,0,0,0,0,green,24.52,25.0,normal,0.0,0.0,0.4
29,0.48333333333333334,0,0,0,0,0,0.0,0,0,0,0,0,green,24.5,25.0,normal,0.0,0.0,0.4
30,0.5,0,0,0,0,0,0.0,0,0,0,0,0,green,24.48,25.0,normal,0.0,0.0,0.4
31,0.5166666666666667,0,0,0,0,0,0.0,0,0,0,0,0,green,24.47,25.0,normal,0.0,0.0,0.4
32,0.5333333333333333,0,0,0,0,0,0.0,0,0,0,0,0,green,24.45,25.0,normal,0.0,0.0,0.4
33,0.55,0,0,0,0,0,0.0,0,0,0,0,0,green,24.43,25.0,normal,0.0,0.0,0.4
34,0.5666666666666667,0,0,0,0,0,0.0,0,0,0,0,0,green,24.42,25.0,normal,0.0,0.0,0.4
35,0.5833333333333334,0,0,0,0,0,0.0,0,0,0,0,0,green,24.4,25.0,normal,0.0,0.0,0.4
36,0.6,0,0,0,0,0,0.0,0,0,0,0,0,green,24.38,25.0,normal,0.0,0.0,0.4
37,0.6166666666666667,0,0,0,0,0,0.0,0,0,0,0,0,green,24.37,25.0,normal,0.0,0.0,0.4
38,0.6333333333333333,0,0,0,0,0,0.0,0,0,0,0,0,green,24.35,25.0,normal,0.0,0.0,0.4
39,0.65,0,0,0,0,0,0.0,0,0,0,0,0,green,24.33,25.0,normal,0.0,0.0,0.4
40,0.6666666666666666,0,0,0,0,0,0.0,0,0,0,0,0,green,24.32,25.0,normal,0.0,0.0,0.4
41,0.6833333333333333,0,0,0,0,0,0.0,0,0,0,0,0,green,24.3,25.0,normal,0.0,0.0,0.4
42,0.7,0,0,0,0,0,0.0,0,0,0,0,0,green,24.28,25.0,normal,0.0,0.0,0.4
43,0.7166666666666667,0,0,0,0,0,0.0,0,0,0,0,0,green,24.27,25.0,normal,0.0,0.0,0.4
44,0.7333333333333333,0,0,0,0,0,0.0,0,0,0,0,0,green,24.25,25.0,normal,0.0,0.0,0.4
45,0.75,0,0,0,0,0,0.0,0,0,0,0,0,green,24.23,25.0,normal,0.0,0.0,0.4
46,0.7666666666666667,0,0,0,0,0,0.0,0,0,0,0,0,green,24.22,25.0,normal,0.0,0.0,0.4
47,0.7833333333333333,0,0,0,0,0,0.0,0,0,0,0,0,green,24.2,25.0,normal,0.0,0.0,0.4
48,0.8,0,0,0,0,0,0.0,0,0,0,0,0,green,24.18,25.0,normal,0.0,0.0,0.4
49,0.8166666666666667,0,0,0,0,0,0.0,0,0,0,0,0,green,24.17,25.0,normal,0.0,0.0,0.4
50,0.8333333333333334,0,0,0,0,0,0.0,0,0,0,0,0,green,24.15,25.0,normal,0.0,0.0,0.4
51,0.85,0,0,0,0,0,0.0,0,0,0,0,0,green,24.13,25.0,normal,0.0,0.0,0.4
52,0.8666666666666667,0,0,0,0,0,0.0,0,0,0,0,0,green,24.12,25.0,normal,0.0,0.0,0.4
53,0.8833333333333333,0,0,0,0,0,0.0,0,0,0,0,0,green,24.1,25.0,normal,0.0,0.0,0.4
54,0.9,0,0,0,0,0,0.0,0,0,0,0,0,green,24.08,25.0,normal,0.0,0.0,0.4
55,0.9166666666666666,0,0,0,0,0,0.0,0,0,0,0,0,green,24.07,25.0,normal,0.0,0.0,0.4
56,0.9333333333333333,0,0,0,0,0,0.0,0,0,0,0,0,green,24.05,25.0,normal,0.0,0.0,0.4
57,0.95,0,0,0,0,0,0.0,0,0,0,0,0,green,24.03,25.0,normal,0.0,0.0,0.4
58,0.9666666666666667,0,0,0,0,0,0.0,0,0,0,0,0,green,24.02,25.0,normal,0.0,0.0,0.4
59,0.9833333333333333,0,0,0,0,0,0.0,0,0,0,0,0,green,24.0,25.0,normal,0.0,0.0,0.4
60,1.0,0,0,0,0,0,0.0,0,0,0,0,0,green,23.98,25.0,normal,0.0,0.0,0.4
61,1.0166666666666666,0,0,0,0,0,0.0,0,0,0,0,0,green,23.97,25.0,normal,0.0,0.0,0.4
62,1.0333333333333334,0,0,0,0,0,0.0,0,0,0,0,0,green,23.95,25.0,normal,0.0,0.0,0.4
63,1.05,0,0,0,0,0,0.0,0,0,0,0,0,green,23.93,25.0,normal,0.0,0.0,0.4
64,1.0666666666666667,0,0,0,0,0,0.0,0,0,0,0,0,green,23.92,25.0,normal,0.0,0.0,0.4
65,1.0833333333333333,0,0,0,0,0,0.0,0,0,0,0,0,green,23.9,25.0,normal,0.0,0.0,0.4
66,1.1,0,0,0,0,0,0.0,0,0,0,0,0,green,23.88,25.0,normal,0.0,0.0,0.4
67,1.1166666666666667,1,0,1,0,0,0.0,0,1,0,0,0,green,23.87,25.0,normal,0.05,0.0,0.4
68,1.1333333333333333,1,0,1,0,0,0.0,0,1,0,0,0,green,23.85,25.0,normal,0.1,0.0,0.4
69,1.15,1,0,1,0,0,0.0,0,1,0,0,0,green,23.83,25.0,normal,0.15,0.0,0.4
70,1.1666666666666667,1,0,1,0,0,0.0,0,1,0,0,0,green,23.82,25.0,normal,0.2,0.0,0.4
71,1.1833333333333333,1,0,1,0,0,0.0,0,1,0,0,0,green,23.8,25.0,normal,0.25,0.0,0.4
72,1.2,2,0,2,0,0,0.0,0,2,0,0,0,green,23.78,25.0,normal,0.35,0.0,0.4
73,1.2166666666666666,2,0,2,0,0,0.0,0,2,0,0,0,green,23.77,25.0,normal,0.45,0.0,0.4
74,1.2333333333333334,2,0,2,0,0,0.0,0,2,0,0,0,green,23.75,25.0,normal,0.55,0.0,0.4
75,1.25,2,0,2,0,0,0.0,0,2,0,0,0,green,23.73,25.0,normal,0.65,0.0,0.4
76,1.2666666666666666,2,1,3,0,0,0.0,0,3,0,0,0,green,23.72,25.0,normal,0.75,0.05,0.4
77,1.2833333333333334,2,1,3,0,0,0.0,0,3,0,0,0,green,23.7,25.0,normal,0.85,0.1,0.4
78,1.3,2,2,4,0,0,0.0,0,4,1,1,0,yellow,2.98,25.0,normal,0.95,0.2,0.4
79,1.3166666666666667,2,2,4,0,0,0.0,0,4,1,1,0,yellow,2.97,25.0,normal,1.05,0.3,0.4
80,1.3333333333333333,2,2,4,0,0,0.0,0,4,1,1,0,yellow,2.95,25.0,normal,1.15,0.4,0.4
81,1.35,2,2,4,0,0,0.0,0,4,1,1,0,yellow,2.93,25.0,normal,1.25,0.5,0.4
82,1.3666666666666667,2,2,4,0,0,0.0,0,4,1,1,0,yellow,2.92,25.0,normal,1.35,0.6,0.4
83,1.3833333333333333,2,2,4,0,0,0.0,0,4,1,1,0,yellow,2.9,25.0,normal,1.45,0.7,0.4
84,1.4,2,2,4,0,0,0.0,0,4,1,1,0,yellow,2.88,25.0,normal,1.55,0.8,0.4
85,1.4166666666666667,2,2,4,0,0,0.0,0,4,1,1,0,yellow,2.87,25.0,normal,1.65,0.9,0.4
86,1.4333333333333333,2,2,4,0,0,0.0,0,4,1,1,0,yellow,2.85,25.0,normal,1.75,1.0,0.4
87,1.45,2,2,4,0,0,0.0,0,4,1,1,0,yellow,2.83,25.0,normal,1.8,1.1,0.4
88,1.4666666666666666,2,2,4,0,0,0.0,0,4,1,1,0,yellow,2.82,25.0,normal,1.85,1.2,0.4
89,1.4833333333333334,2,2,4,0,0,0.0,0,4,1,1,0,yellow,2.8,25.0,normal,1.9,1.3,0.4
90,1.5,2,2,4,0,0,0.0,0,4,1,1,0,yellow,2.78,25.0,normal,1.95,1.4,0.4
91,1.5166666666666666,2,2,4,0,0,0.0,0,4,1,1,0,yellow,2.77,25.0,normal,2.0,1.5,0.4
